,state,latitude,longitude,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20
20,Maine,45.709097,-68.8590201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,16,24,32,49,53,67,86,104,115,138,150,162,204,245,267,292,292,364,413,436,450,476,496,514,536,562,589,605,670,706,739,764,795,812,832,840,852,871,900,927,927,973,981,998,1013,1047,1071,1099,1129,1145,1164,1187,1256,1296,1326,1352,1370,1380,1412,1456,1490,1528,1556,1574,1590,1634,1675,1739,1786,1822,1836,1862,1885,1925,1957,1995,2027,2045,2063,2092,2112,2144,2178,2203,2212,2225,2247,2270,2306,2338,2368,2381,2391,2402,2437,2468,2490,2505,2518,2542,2563,2610,2638,2685,2715,2743,2770,2810,2840,2883,2903,2919,2927,2944,3440
21,Maryland,39.5162234,-76.9382069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,8,9,12,18,27,24,42,60,85,107,149,193,244,290,349,425,583,775,995,1239,1413,1660,1986,2330,2756,3122,3611,4039,4364,5523,6177,6958,7683,8212,8921,9455,10015,10764,11546,12293,12814,13652,14137,14717,15660,16526,17661,18468,19373,19998,20733,21624,23354,24352,25338,26282,26988,28034,29231,30342,31390,32441,33227,33913,34663,35753,36835,37808,38643,39598,41380,42157,43365,44256,45327,46143,46976,47511,48246,49531,50811,51838,52600,53147,53994,54800,55676,56587,57298,57789,58219,58718,59280,60012,60426,61118,61514,61845,62221,62781,63042,63361,63768,64118,64414,64815,65143,65574,65911,66246,66573,67050,67354,67713,68218,68755,69133,69422,69694,70186,70522
22,Massachusetts,42.3788774,-72.032366,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,6,6,22,22,41,92,107,123,137,137,186,215,250,323,404,512,616,747,1119,1787,2350,3140,4124,4807,5579,6429,7483,8683,10088,11406,12153,13454,14797,16367,18497,20510,22380,24974,26365,27650,29389,31631,34403,36364,38032,39578,41150,42926,46007,50940,53365,54966,56482,58350,60335,62325,64458,66468,68337,69391,70646,72499,74273,76002,77449,78547,79271,80212,81479,83274,84578,86155,87276,88337,89268,90379,91578,92450,93284,94345,94993,95448,96043,96800,97472,98360,99048,99381,99733,100157,100620,101111,101682,101980,102168,102427,102689,103193,103580,103909,104116,104201,104391,104654,104920,105142,105423,105546,105693,105916,106086,106312,106540,106912,107135,107233,107344,107601,107791,108075,108285,108417,108576,108777,110338
23,Michigan,43.6211955,-84.6824346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,24,36,45,76,90,159,314,471,625,1131,1454,1942,2468,3032,3848,4890,5753,6803,7951,9717,11230,13221,14735,16268,17820,19644,21076,22297,23279,24500,25183,26622,28041,29142,29964,31223,32029,32685,33318,34042,35398,36839,38323,38782,39534,40027,41159,42372,43471,44517,45416,46040,46341,46907,47731,48405,49163,49669,50079,50624,51256,51812,53159,53801,54306,54954,55846,56456,57311,57976,58531,59033,59381,59607,59960,60577,61099,61816,62208,62693,62908,63220,63637,63959,64801,64894,64949,65084,65147,65162,65429,65652,65815,66033,66064,66248,66476,66777,67076,67524,67690,67936,68176,68534,68968,69308,69658,69925,70202,70706,71068,71656,72153,72559,72919,73245,73878,73900
24,Minnesota,45.9896587,-94.6113288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,9,14,21,21,53,59,77,89,113,134,167,234,261,286,344,396,441,503,576,629,689,742,788,865,935,986,1069,1154,1240,1336,1427,1621,1621,1695,1809,1809,2069,2208,2355,2469,2566,2721,2941,3184,3445,3601,3810,4180,4643,5135,5729,6231,6662,7233,7850,8578,9364,10086,10788,11269,11797,12492,12915,13433,14238,14966,15665,16368,17025,17666,18196,19001,19839,20567,21309,21953,22457,22940,23524,24182,24842,25200,25497,25859,26262,26968,27489,27874,28212,28510,28856,29303,29782,30159,30458,30680,30869,31283,31662,32018,32454,32907,33214,33456,33750,34110,34603,35020,35536,35848,36289,36702,37196,37610,37610,38121,38554,39118,39133
25,Mississippi,32.9715645,-89.7348497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,12,21,34,50,79,138,206,247,318,375,482,573,657,752,840,927,1062,1163,1344,1439,1619,1719,1891,1978,2233,2427,2593,2730,2885,3025,3296,3554,3720,3901,4193,4429,4626,4798,5052,5330,5609,5798,5978,6219,6440,6682,7064,7292,7402,7728,8056,8270,8529,8933,9220,9342,9514,9747,9927,10319,10635,10952,11124,11259,11527,11789,12043,12445,12824,13074,13270,13542,13854,14182,14601,15033,15324,15552,15841,16120,16357,16565,16835,17066,17546,17901,18261,18261,18866,19123,19291,19573,19926,20414,20414,20414,20414,20414,22102,22665,23190,24274,24823,25283,25640,26314,26984,27633,28490,29391,30364,30589,30944,31899,32214
26,Missouri,38.7604815,-92.5617875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,5,8,14,21,42,79,88,121,223,290,381,576,743,863,933,1288,1548,1800,1997,2118,2462,2558,3020,3316,3500,3743,4138,4384,4523,4703,4868,4993,5296,5508,5701,5869,6031,6230,6421,6688,6931,7096,7263,7432,7579,7749,7944,8178,8437,8700,8986,9183,9435,9671,9817,9976,10093,10200,10317,10507,10668,10855,11025,11145,11290,11422,11593,11740,11947,12106,12352,12504,12674,12825,13033,13182,13347,13516,13724,13992,14235,14521,14683,14971,15057,15279,15488,15676,15868,15922,16152,16182,16528,16773,16984,17286,17582,17972,18374,18506,18919,19036,19549,20128,20482,20706,21225,21721,22013,22545,23069,23490,23723,24118,24823,25579
27,Montana,47.3752671,-109.6387579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,6,8,10,11,20,27,34,34,51,65,90,109,129,154,171,198,208,241,243,264,285,298,318,331,353,364,376,386,393,398,403,414,421,425,432,432,436,438,441,443,444,447,448,450,450,452,452,454,454,456,455,455,455,457,457,457,458,460,461,461,465,467,467,469,470,477,478,478,478,478,478,478,480,484,492,504,514,518,522,524,538,540,539,544,547,553,560,562,572,587,600,608,613,629,654,665,697,716,733,742,765,802,828,851,862,918,966,1015,1082,1127,1166,1210,1247,1325,1327
28,Nebraska,41.7370229,-99.5873816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,5,10,14,18,17,18,23,24,28,36,37,50,50,65,70,73,81,94,106,142,169,206,240,273,313,353,404,432,492,540,597,654,737,760,835,839,887,1002,1164,1376,1548,1584,1710,2091,2304,2594,2901,3217,3374,3704,4117,4821,5115,5458,5833,6169,6477,7118,7600,7870,7948,8180,8304,8676,9022,9364,9969,9925,10373,10599,10866,11169,11404,11699,11869,12097,12354,12720,12984,13380,13635,13831,14073,14344,14612,14864,15131,15297,15389,15510,15641,15781,16038,16244,16362,16452,16573,16760,16953,17136,17308,17426,17530,17681,17817,17938,18061,18237,18488,18611,18750,18883,19014,19156,19362,19528,19630,19745,19899,20201
29,Nevada,39.5158825,-116.8537227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,4,7,10,18,20,20,45,55,55,95,161,161,190,245,278,323,420,536,626,920,1012,1114,1279,1463,1514,1742,1855,1953,2124,2259,2456,2722,2702,2836,2990,3134,3211,3213,3523,3623,3725,3827,3934,4078,4205,4395,4536,4731,4697,4818,4931,5050,5245,5386,5469,5627,5657,5738,5852,5917,6168,6117,6149,6308,6471,6499,6728,6808,6944,7056,7090,7382,7394,7519,7520,7875,7950,8050,8143,8241,8369,8510,8621,8695,8850,8943,9121,9301,9483,9661,9806,10035,10208,10463,10694,10987,11191,11305,11673,11844,12159,12514,12966,13230,13518,13986,14351,14848,15229,16329,17150,17883,18445,19089,19720,20704,21559,22400,22891,23765,23785
30,New Hampshire,43.4849133,-71.6553992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,4,4,4,5,6,6,7,7,17,26,37,42,53,61,73,97,94,101,129,150,178,205,305,345,355,466,466,526,604,697,697,726,798,798,864,908,963,898,1115,1115,1262,1317,1364,1421,1462,1560,1642,1690,1766,1833,1903,1976,2024,2112,2273,2391,2479,2548,2596,2700,2801,2905,2967,3025,3114,3192,3252,3333,3403,3505,3543,3599,3668,3814,3881,3960,4034,4094,4142,4175,4229,4332,4434,4434,4591,4625,4686,4732,4812,4889,4952,4975,5009,5009,5108,5137,5178,5225,5244,5271,5290,5362,5374,5409,5440,5466,5480,5493,5520,5560,5592,5636,5666,5679,5701,5721,5741,5775,5790,5815,5829,5846,5932
31,New Jersey,40.0757384,-74.4041622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,5,15,23,29,49,69,72,176,250,394,738,887,1323,1909,2838,3669,4390,6866,8811,11107,13362,16607,18665,22215,25540,29823,34026,37384,40958,44272,47269,50836,54377,57921,61597,64317,68540,70708,74973,78097,81038,84903,88312,91918,95409,99481,101630,104902,108400,110439,112988,115457,117688,120178,122667,125669,127134,129403,130644,132689,134417,135903,137244,138673,139359,139976,141055,142306,143373,144746,146433,147518,148901,149691,150660,151204,152193,153064,153715,154541,155065,156690,157425,158231,158696,159294,159784,160244,161027,161563,161800,162114,162395,162924,163385,163711,164130,164391,164606,164887,165150,165524,165877,166196,166440,166693,166984,167121,167409,167773,168051,168343,168427,168804,169050,169458,169818,170107,170466,170662,170917,175734
32,New Mexico,34.5708167,-105.993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,7,7,7,9,12,15,19,23,25,45,57,65,65,81,115,136,136,186,198,225,288,304,378,424,487,514,540,674,684,805,807,890,1007,1007,1106,1271,1303,1405,1405,1610,1748,1870,1990,2038,2131,2236,2448,2600,2683,2849,2930,3087,3175,3310,3481,3643,3728,3790,3983,4101,4240,4354,4482,4653,4728,4878,4967,5033,5199,5312,5312,5606,5679,5768,5869,5930,6048,6160,6213,6314,6525,6616,6810,7113,7225,7348,7462,7493,7627,7715,7857,7939,8030,8140,8200,8313,8413,8483,8638,8760,8866,8990,9111,9255,9421,9598,9745,9873,10004,10098,10243,10445,10653,10785,10976,11109,13727
33,New York,40.7127281,-74.0060152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,23,31,76,106,142,150,220,325,419,606,608,952,1553,3002,5661,8333,11639,15677,20757,25535,30689,37706,44689,52215,59443,66446,75607,83708,92253,102720,113540,122855,131496,139542,150719,161400,171922,180580,188555,195250,202485,213906,223110,229978,236826,242700,247729,252815,257485,262702,270785,281244,287097,291017,294097,298624,303207,307110,311739,315157,317666,319898,322657,326121,329023,331706,333963,335599,337006,339167,341542,344275,346660,348542,349761,351190,352688,354758,356398,358156,359733,360973,362043,363169,364919,366450,367817,368910,369829,371140,372165,373203,374267,375363,376136,376821,377499,378170,378896,379707,380614,381304,381922,382549,383113,383726,384507,385219,385882,386428,387023,387601,388339,389136,389832,390442,390831,391352,391967,392829,393742,394453,394979,395489,396073,402844
34,North Carolina,35.6729639,-79.0392919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,7,7,15,17,25,32,39,64,92,136,188,254,303,351,492,587,734,882,1015,1185,1306,1528,1668,1964,2237,2470,2630,2942,3275,3469,3706,3932,4320,4534,4818,5040,5297,5594,5998,6280,6551,6845,7076,7435,7757,8217,8691,8907,9337,9661,10084,10645,10961,11467,11646,11843,12382,12925,13397,13857,14326,14765,15091,15439,16162,16772,17298,17927,18456,18983,19015,20028,20278,21842,22596,23087,23779,24155,24611,25475,26543,27452,28421,29201,29632,30863,31662,32837,34260,35160,35989,36674,37899,39003,40776,42145,43522,44336,45111,46107,47329,48902,50471,51862,53013,53670,55523,56463,58123,59746,61160,62622,64181,65600,67037,69055,70430,71718,73483,74970,76582
35,North Dakota,47.6201461,-100.540737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,6,19,26,28,28,30,36,45,51,68,94,98,109,122,142,159,173,186,207,225,237,251,269,278,293,308,331,341,365,393,393,528,585,627,644,679,709,748,803,867,942,991,1033,1067,1107,1153,1191,1225,1266,1323,1371,1425,1464,1491,1518,1571,1647,1712,1761,1848,1900,1931,1994,2095,2229,2317,2365,2418,2457,2422,2439,2481,2520,2554,2577,2625,2646,2679,2706,2745,2816,2861,2880,2901,2941,2980,3016,3058,3080,3101,3124,3166,3193,3226,3251,3288,3313,3320,3362,3393,3421,3458,3495,3539,3576,3615,3657,3722,3779,3816,3849,3898,3898
36,OTHER,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Ohio,40.2253569,-82.6881395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,12,26,30,50,67,89,119,173,247,356,443,567,704,868,1137,1406,1653,1933,2199,2547,2901,3312,3738,4041,4451,4780,5146,5509,5875,6247,6601,6972,7282,7791,8411,9104,10219,11599,12916,13722,14113,14690,15165,15583,15968,16321,16765,17298,18023,18738,19330,19909,20469,20964,21571,22126,23011,23691,24075,24771,25244,25715,26350,26946,27466,27915,28446,28944,29428,30159,30786,31400,31903,32469,32998,33431,33907,34557,35024,35503,35974,36340,36782,37271,37747,38100,38465,38826,39151,39563,39992,40412,40837,41133,41561,41993,42405,43104,43713,44243,44790,45518,46108,46740,47631,48618,49435,50289,51025,51768,52844,54145,55235,56160,57128,57932,58880,58904
38,Oklahoma,34.9550817,-97.2684063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,10,17,17,44,49,53,67,81,106,162,246,319,374,425,477,564,713,872,976,1147,1236,1309,1449,1501,1661,1768,1841,1943,2042,2156,2234,2328,2436,2436,2524,2634,2760,2845,2967,3068,3140,3199,3226,3346,3409,3554,3683,3786,3907,3979,4061,4134,4261,4352,4416,4515,4541,4658,4784,4889,5013,5163,5235,5323,5412,5454,5602,5770,5878,5955,6008,6056,6147,6189,6253,6331,6331,6485,6601,6714,6814,6914,6966,7056,7111,7268,7388,7531,7754,7977,8135,8321,8549,8808,9254,9604,9934,10409,10626,10921,11400,11837,12236,12535,12835,13061,13642,14004,14412,14950,15528,15810,16239,17091,17220
39,Oregon,43.9792797,-120.737257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,6,14,14,14,19,24,30,36,36,39,66,75,88,114,137,161,191,210,266,316,416,479,548,606,690,736,826,899,899,1068,1068,1132,1181,1321,1322,1371,1527,1584,1633,1663,1736,1785,1844,1910,1957,2004,2059,2127,2177,2253,2311,2354,2385,2446,2510,2579,2635,2680,2759,2839,2915,2988,3067,3159,3227,3285,3357,3415,3478,3538,3611,3622,3686,3725,3800,3816,3863,3887,3926,3948,3966,4037,4085,4130,4184,4242,4301,4334,4398,4473,4569,4569,4661,4921,4987,5059,5236,5376,5376,5635,5819,6097,6217,6365,6571,6749,6936,7082,7273,7443,7567,7817,8093,8340,8484,8655,8927,9290,9632,9925,10225,10390,10600,10605
40,Pennsylvania,40.9699889,-77.7278831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,7,12,16,22,41,47,47,79,112,155,206,307,395,504,692,940,1254,1788,2337,2837,3424,4147,4954,5997,7250,8551,10423,11567,13102,14825,16598,18262,20008,21675,22890,24236,25402,26689,28191,29818,31578,32822,33829,35158,35990,38284,40098,41040,42499,43436,45013,46197,47834,49439,50353,51080,52668,53716,54652,55805,57217,58404,59780,60292,61143,61932,62931,63953,65000,65511,66475,67117,67929,69048,69997,70787,71337,71698,72545,73321,73980,74743,75452,75878,76396,76970,77520,78072,78551,79236,79635,80064,80595,81038,81569,82197,82655,82913,83293,83680,83989,84379,84890,85279,85621,86259,86886,87364,87818,88536,89119,89535,90135,90800,91434,92270,93048,93573,94051,94748,95540,95906
41,Rhode Island,41.7962409,-71.5992372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,3,3,3,5,3,12,20,20,21,23,33,44,54,62,69,82,100,108,159,197,233,282,396,474,548,624,690,785,898,1057,1202,1419,1696,1690,2310,2626,2626,3212,3202,3479,4120,4434,4647,5023,5432,5753,6161,6597,7022,7328,7593,7812,8102,8478,8820,9145,9325,9498,9779,10051,10376,10625,10835,11120,11279,11442,11663,11844,12047,12262,12502,12623,12779,13158,13367,13527,13739,13852,13852,13997,14130,14272,14411,14595,14704,14767,14888,14995,15101,15217,15217,15217,15411,15460,15525,15631,15716,15716,15716,15853,15924,15973,16029,16097,16097,16097,16212,16286,16359,16393,16414,16414,16414,16511,16560,16600,16688,16735,16735,16735,16735,16898,17154
42,South Carolina,33.6874388,-80.4363743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,7,10,7,8,19,19,30,47,60,79,125,173,195,297,341,421,421,538,657,771,922,1079,1289,1548,1694,1911,2043,2226,2412,2412,2786,3060,3202,3311,3382,3544,3646,3921,4089,4233,4360,4429,4422,4739,4894,5046,5229,5471,5584,5706,5853,6064,6227,6458,6593,6724,6808,6903,7108,7333,7497,7619,7758,7893,7996,8155,8373,8627,8781,8907,9020,9139,9345,9602,9860,10061,10143,10381,10588,10751,11092,11355,11819,12104,12373,12424,12480,13411,13491,14251,14742,15168,15699,16378,17108,17892,18728,19308,19917,20483,21460,22535,23670,24573,25579,26486,27806,28923,30235,31836,33217,34538,36286,37806,39582,41414,43267,44723,46245,47218,47352
43,South Dakota,44.6471761,-100.348761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,8,8,10,11,11,14,14,14,21,28,30,41,46,57,67,89,100,107,128,164,186,211,239,287,319,392,446,535,625,729,867,987,1167,1310,1410,1541,1634,1684,1754,1857,1955,2039,2146,2211,2243,2312,2372,2448,2524,2587,2630,2667,2720,2779,2905,3144,3392,3515,3612,3661,3730,3790,3885,3957,3984,4024,4082,4169,4169,4336,4442,4541,4564,4631,4688,4770,4843,4935,4967,5008,5041,5135,5220,5250,5338,5409,5442,5494,5575,5636,5712,5800,5865,5895,5933,6017,6076,6124,6191,6263,6292,6319,6385,6445,6501,6592,6647,6682,6730,6792,6859,6944,6994,7029,7071,7129,7163
44,Tennessee,35.7730076,-86.2820081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,9,18,26,32,32,52,74,100,154,222,303,392,613,771,913,1094,1314,1506,1714,1911,2381,2923,3003,3057,3312,3623,3792,4128,4352,4623,4880,5120,5496,5595,5812,5812,6150,6247,6573,7054,7222,7373,7373,8243,8704,9165,9642,9894,10028,10339,10707,11863,12633,13149,13541,13661,13909,14065,14410,14737,14954,15511,16077,16335,16664,16924,17227,17323,17974,18375,18375,18924,19357,19746,20072,20496,20855,21245,21640,22024,22526,22526,22526,24301,24792,25148,25622,26132,26446,26957,27525,27876,28285,29059,29489,30283,30944,31686,32048,32701,33943,34372,35028,35478,36225,37156,37953,39355,40082,40082,42200,43407,45211,46785,48596,50006,51174,51895,53371,53514
45,Texas,31.8160381,-99.5120986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,11,13,16,21,27,44,60,63,85,110,196,306,429,582,643,758,955,1229,1563,1937,2455,2792,3147,3808,4354,5068,5733,6566,7208,8042,8923,9775,11206,12102,13020,13674,14272,15002,15901,16870,17843,18698,19252,19743,20564,21307,22634,23624,24135,24948,25298,26331,27228,28698,29660,30885,31966,32749,33874,34888,35996,37205,38353,39217,40514,41382,42970,44429,45669,47398,48342,49123,50492,51612,52990,53476,54713,55795,56343,57164,58476,60329,60835,62603,64580,65521,67234,68799,70470,72461,74383,75321,76375,78117,80686,82563,84832,86813,88421,90109,93467,96709,100256,104387,108575,111938,116784,121923,127119,133544,139156,144877,149136,155690,162028,171328,178074,185727,192888,196339,204560,214918,214918
46,U.S. military,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21493
47,Utah,39.4225192,-111.7143584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,9,10,18,28,39,47,62,95,118,162,257,298,340,396,472,602,719,798,888,888,1086,1248,1428,1601,1678,1739,1848,1856,2103,2207,2303,2363,2417,2548,2683,2793,2917,3069,3213,3297,3445,3612,3782,3948,4123,4236,4345,4497,4672,4828,4985,5175,5317,5449,5595,5724,5919,6103,6251,6362,6432,6620,6749,6913,7068,7238,7384,7518,7710,7874,8057,8260,8392,8521,8620,8706,8921,9264,9533,9797,9999,10202,10497,10813,11252,11798,12066,12322,12559,12864,13252,13577,13981,14313,14608,14937,15344,15839,16425,17068,17462,17906,18300,18784,19374,20050,20628,21100,21664,22217,22716,23270,23866,24542,24952,25469,26033,26033
48,Vermont,44.5990718,-72.5002608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,5,5,12,12,12,21,28,46,49,69,87,116,146,171,196,218,239,270,297,312,357,427,472,503,528,558,578,629,657,672,692,696,703,718,722,742,752,755,757,762,764,766,782,790,794,801,801,805,818,825,836,841,846,847,855,857,859,865,864,865,867,870,871,872,878,878,882,882,888,890,892,894,900,905,909,912,913,914,917,919,924,926,962,963,981,998,1010,1018,1029,1044,1053,1059,1061,1062,1065,1064,1068,1077,1080,1092,1096,1096,1116,1123,1130,1132,1134,1140,1140,1142,1159,1168,1170,1181,1183,1186,1254
49,Virginia,37.1232245,-78.4927721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,9,12,27,37,37,49,67,79,103,122,156,219,253,292,394,464,605,738,887,1014,1242,1476,1696,2004,2399,2629,2867,3324,3634,4031,4497,5062,5259,5732,6167,6485,6870,7463,8020,8500,8938,9578,10207,10922,11494,12220,12783,13343,14116,14733,15583,16599,17385,18272,19068,19828,20552,21107,21879,22700,23573,24546,25270,26201,27220,28024,29015,29700,30450,31444,32199,33428,34239,35027,35517,36996,38584,39469,40594,41706,42748,43698,44481,45300,45952,46890,47563,48427,49698,50268,50755,51193,51663,52224,52880,53513,53890,54324,54757,55220,55771,56419,56963,57433,57961,58480,58909,59533,60208,60697,61150,61745,62160,62693,63351,64066,64704,65058,65698,66740
